community,community_area,population,type,total22,total23,total24,total25,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,People,854,917,956,881,539,986,795,847,806,2754,918,-10.6,-18.3,-8.5,-12,4930,3975,4235,4270,4585,4780,4405,4030,4590
Douglas,35,20000,Property,1552,1873,1527,1622,1062,1271,1031,1090,1653,5022,1674,27.6,30.1,1.9,-1,6355,5155,5450,7760,9365,7635,8110,8265,8370
Douglas,35,20000,Society,394,392,418,402,260,491,362,344,351,1212,404,-18.1,-28.5,-12.7,-13,2455,1810,1720,1970,1960,2090,2010,1755,2020
Oakland,36,7000,People,248,299,274,245,177,237,225,230,257,818,272.7,3.4,8.4,4.9,-6,3385.7,3214.3,3285.7,3542.9,4271.4,3914.3,3500,3671.4,3895.7
Oakland,36,7000,Property,394,555,486,464,328,289,286,275,471,1505,501.7,60.6,63,1.5,-6,4128.6,4085.7,3928.6,5628.6,7928.6,6942.9,6628.6,6728.6,7167.1
Oakland,36,7000,Society,119,128,122,93,61,112,112,86,83,343,114.3,-17,-25.9,-10.8,-27,1600,1600,1228.6,1700,1828.6,1742.9,1328.6,1185.7,1632.9
Fuller Park,37,3000,People,228,271,306,269,180,299,268,235,265,846,282,-10,-11.4,-1.5,-6,9966.7,8933.3,7833.3,7600,9033.3,10200,8966.7,8833.3,9400
Fuller Park,37,3000,Property,293,330,272,281,193,380,279,235,286,883,294.3,-26.1,-24.7,1.8,-3,12666.7,9300,7833.3,9766.7,11000,9066.7,9366.7,9533.3,9810
Fuller Park,37,3000,Society,125,125,125,135,93,226,136,88,142,385,128.3,-40.3,-37.2,5.2,11,7533.3,4533.3,2933.3,4166.7,4166.7,4166.7,4500,4733.3,4276.7
Grand Boulevard,38,25000,People,1069,1280,1206,1062,711,1212,1058,1052,1045,3548,1182.7,-12.4,-13.8,-1.6,-12,4848,4232,4208,4276,5120,4824,4248,4180,4730.8
Grand Boulevard,38,25000,Property,1829,2059,2092,1824,1274,1489,1393,1256,1944,5975,1991.7,22.5,30.6,6.6,-2,5956,5572,5024,7316,8236,8368,7296,7776,7966.8
Grand Boulevard,38,25000,Society,544,509,526,517,363,695,505,486,505,1552,517.3,-25.6,-27.3,-2.3,-2,2780,2020,1944,2176,2036,2104,2068,2020,2069.2
Kenwood,39,19000,People,559,587,630,571,434,442,421,464,610,1788,596,29.2,38,6.8,2,2326.3,2215.8,2442.1,2942.1,3089.5,3315.8,3005.3,3210.5,3136.8
Kenwood,39,19000,Property,1073,1247,1243,1237,830,747,631,674,1242,3727,1242.3,65.6,66.3,0.4,-0,3931.6,3321.1,3547.4,5647.4,6563.2,6542.1,6510.5,6536.8,6538.4
Kenwood,39,19000,Society,196,234,223,236,157,202,166,186,233,693,231,16.8,15.3,-1.3,1,1063.2,873.7,978.9,1031.6,1231.6,1173.7,1242.1,1226.3,1215.8
Lincoln Square,4,40000,People,526,623,541,497,354,515,461,475,517,1661,553.7,-3.5,0.4,4,-7,1287.5,1152.5,1187.5,1315,1557.5,1352.5,1242.5,1292.5,1384.2
Lincoln Square,4,40000,Property,1274,1380,1272,1192,741,1097,1275,1060,1120,3844,1281.3,8.7,2.1,-6,-13,2742.5,3187.5,2650,3185,3450,3180,2980,2800,3203.2
Lincoln Square,4,40000,Society,226,215,223,220,153,197,152,167,223,658,219.3,11.7,13.2,1.4,2,492.5,380,417.5,565,537.5,557.5,550,557.5,548.2
Washington Park,40,13000,People,828,980,967,962,685,940,820,831,979,2909,969.7,2.3,4.1,1.8,1,7230.8,6307.7,6392.3,6369.2,7538.5,7438.5,7400,7530.8,7459.2
Washington Park,40,13000,Property,1054,1255,1094,1059,651,906,825,801,955,3408,1136,16.9,5.4,-9.8,-16,6969.2,6346.2,6161.5,8107.7,9653.8,8415.4,8146.2,7346.2,8738.5
Washington Park,40,13000,Society,372,354,396,427,321,499,327,332,446,1177,392.3,-14.4,-10.6,4.4,14,3838.5,2515.4,2553.8,2861.5,2723.1,3046.2,3284.6,3430.8,3017.7
Hyde Park,41,29000,People,567,587,613,544,414,489,409,520,564,1744,581.3,11.2,15.3,3.7,-3,1686.2,1410.3,1793.1,1955.2,2024.1,2113.8,1875.9,1944.8,2004.5
Hyde Park,41,29000,Property,1395,1676,1611,1806,1060,1046,889,1056,1664,5093,1697.7,72.7,59.1,-7.9,-2,3606.9,3065.5,3641.4,4810.3,5779.3,5555.2,6227.6,5737.9,5854.1
Hyde Park,41,29000,Society,176,201,202,207,188,193,172,141,246,610,203.3,7.3,27.5,18.8,21,665.5,593.1,486.2,606.9,693.1,696.6,713.8,848.3,701
Woodlawn,42,24000,People,1129,1191,1388,1300,849,1380,1152,1115,1272,3879,1293,-5.8,-7.8,-2.2,-2,5750,4800,4645.8,4704.2,4962.5,5783.3,5416.7,5300,5387.5
Woodlawn,42,24000,Property,1621,1996,1773,1797,1226,1437,1258,1242,1860,5566,1855.3,25.1,29.4,3.5,0,5987.5,5241.7,5175,6754.2,8316.7,7387.5,7487.5,7750,7730.4
