community,community_area,population,category,total23,total24,total25,total22,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Motor Vehicle Theft,593,279,359,397,234,86,112,175,374,1231,410.3,317.4,334.9,4.2,-9,430,560,875,1985,2965,1395,1795,1870,2051.5
Oakland,36,7000,Motor Vehicle Theft,202,118,118,127,99,18,28,32,132,438,146,555.6,633.3,11.9,-10,257.1,400,457.1,1814.3,2885.7,1685.7,1685.7,1885.7,2085.7
Fuller Park,37,3000,Motor Vehicle Theft,93,46,62,60,45,35,41,40,66,201,67,77.1,88.6,6.5,-1,1166.7,1366.7,1333.3,2000,3100,1533.3,2066.7,2200,2233.3
Grand Boulevard,38,25000,Motor Vehicle Theft,625,465,437,510,293,135,178,164,444,1527,509,223.7,228.9,1.6,-13,540,712,656,2040,2500,1860,1748,1776,2036
Kenwood,39,19000,Motor Vehicle Theft,318,277,193,256,155,54,74,93,218,788,262.7,257.4,303.7,13,-17,284.2,389.5,489.5,1347.4,1673.7,1457.9,1015.8,1147.4,1382.6
Lincoln Square,4,40000,Motor Vehicle Theft,181,161,91,96,66,63,88,43,92,433,144.3,44.4,46,1.1,-36,157.5,220,107.5,240,452.5,402.5,227.5,230,360.8
Washington Park,40,13000,Motor Vehicle Theft,392,279,241,322,165,81,108,123,225,912,304,197.5,177.8,-6.6,-26,623.1,830.8,946.2,2476.9,3015.4,2146.2,1853.8,1730.8,2338.5
Hyde Park,41,29000,Motor Vehicle Theft,377,229,194,228,144,65,62,111,213,800,266.7,198.5,227.7,9.8,-20,224.1,213.8,382.8,786.2,1300,789.7,669,734.5,919.7
Woodlawn,42,24000,Motor Vehicle Theft,516,324,307,386,238,103,120,161,350,1147,382.3,198.1,239.8,14,-8,429.2,500,670.8,1608.3,2150,1350,1279.2,1458.3,1592.9
Rogers Park,1,55000,Motor Vehicle Theft,428,350,229,203,114,128,105,131,184,1007,335.7,78.9,43.8,-19.7,-45,232.7,190.9,238.2,369.1,778.2,636.4,416.4,334.5,610.4
Jefferson Park,11,26000,Motor Vehicle Theft,88,80,54,50,34,54,35,29,54,222,74,0,0,0,-27,207.7,134.6,111.5,192.3,338.5,307.7,207.7,207.7,284.6
Forest Glen,12,20000,Motor Vehicle Theft,38,53,29,23,20,22,18,14,28,120,40,31.8,27.3,-3.4,-30,110,90,70,115,190,265,145,140,200
North Park,13,18000,Motor Vehicle Theft,87,73,63,58,23,41,28,38,50,223,74.3,53.7,22,-20.6,-33,227.8,155.6,211.1,322.2,483.3,405.6,350,277.8,412.8
Albany Park,14,48000,Motor Vehicle Theft,176,154,157,131,69,104,98,77,122,487,162.3,51,17.3,-22.3,-25,216.7,204.2,160.4,272.9,366.7,320.8,327.1,254.2,338.1
Portage Park,15,63000,Motor Vehicle Theft,386,257,204,216,158,134,108,112,228,847,282.3,52.2,70.1,11.8,-19,212.7,171.4,177.8,342.9,612.7,407.9,323.8,361.9,448.1
Irving Park,16,52000,Motor Vehicle Theft,317,237,150,188,99,101,117,100,142,704,234.7,48.5,40.6,-5.3,-39,194.2,225,192.3,361.5,609.6,455.8,288.5,273.1,451.3
Dunning,17,43000,Motor Vehicle Theft,186,152,114,91,78,54,60,59,124,452,150.7,111.1,129.6,8.8,-18,125.6,139.5,137.2,211.6,432.6,353.5,265.1,288.4,350.5
Montclare,18,14000,Motor Vehicle Theft,118,55,65,68,35,25,29,24,68,238,79.3,160,172,4.6,-14,178.6,207.1,171.4,485.7,842.9,392.9,464.3,485.7,566.4
Belmont Cragin,19,78000,Motor Vehicle Theft,521,363,285,377,217,272,225,195,335,1169,389.7,4.8,23.2,17.5,-14,348.7,288.5,250,483.3,667.9,465.4,365.4,429.5,499.6
West Ridge,2,77000,Motor Vehicle Theft,450,397,255,299,140,127,140,117,225,1102,367.3,100.8,77.2,-11.8,-39,164.9,181.8,151.9,388.3,584.4,515.6,331.2,292.2,477
Hermosa,20,24000,Motor Vehicle Theft,222,114,75,135,66,72,58,62,97,411,137,4.2,34.7,29.3,-29,300,241.7,258.3,562.5,925,475,312.5,404.2,570.8
Avondale,21,36000,Motor Vehicle Theft,229,176,130,139,109,86,75,85,149,535,178.3,51.2,73.3,14.6,-16,238.9,208.3,236.1,386.1,636.1,488.9,361.1,413.9,495.3
Logan Square,22,72000,Motor Vehicle Theft,594,517,284,340,261,172,161,123,344,1395,465,65.1,100,21.1,-26,238.9,223.6,170.8,472.2,825,718.1,394.4,477.8,645.8
Humboldt Park,23,54000,Motor Vehicle Theft,736,517,394,529,397,247,295,219,548,1647,549,59.5,121.9,39.1,-0,457.4,546.3,405.6,979.6,1363,957.4,729.6,1014.8,1016.7
West Town,24,88000,Motor Vehicle Theft,1049,1059,679,627,575,236,306,386,813,2787,929,187.7,244.5,19.7,-12,268.2,347.7,438.6,712.5,1192,1203.4,771.6,923.9,1055.7
Austin,25,97000,Motor Vehicle Theft,1360,1020,827,1348,644,646,708,601,930,3207,1069,28,44,12.5,-13,666,729.9,619.6,1389.7,1402.1,1051.5,852.6,958.8,1102.1
West Garfield Park,26,17000,Motor Vehicle Theft,363,269,204,338,193,188,229,194,265,836,278.7,8.5,41,29.9,-5,1105.9,1347.1,1141.2,1988.2,2135.3,1582.4,1200,1558.8,1639.4
