community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Aggravated Battery,89,78,78,86,89,94,90,4,89,273,91,1.1,0,-1.1,-2,445,390,390,430,445,470,450,445,455
Oakland,36,7000,Aggravated Battery,19,21,27,27,25,31,19,1,19,75,25,0,0,0,-24,271.4,300,385.7,385.7,357.1,442.9,271.4,271.4,357.1
Fuller Park,37,3000,Aggravated Battery,31,38,34,31,42,41,29,0,28,112,37.3,-6.5,-9.7,-3.4,-25,1033.3,1266.7,1133.3,1033.3,1400,1366.7,966.7,933.3,1243.3
Grand Boulevard,38,25000,Aggravated Battery,116,135,123,128,136,115,96,2,94,347,115.7,-17.2,-19,-2.1,-19,464,540,492,512,544,460,384,376,462.8
Kenwood,39,19000,Aggravated Battery,38,53,47,59,54,60,50,6,56,164,54.7,31.6,47.4,12,2,200,278.9,247.4,310.5,284.2,315.8,263.2,294.7,287.9
Lincoln Square,4,40000,Aggravated Battery,34,25,24,27,45,24,28,2,28,97,32.3,-17.6,-17.6,0,-13,85,62.5,60,67.5,112.5,60,70,70,80.8
Washington Park,40,13000,Aggravated Battery,111,106,122,102,137,156,126,6,131,419,139.7,13.5,18,4,-6,853.8,815.4,938.5,784.6,1053.8,1200,969.2,1007.7,1074.6
Hyde Park,41,29000,Aggravated Battery,29,43,40,37,44,65,57,1,54,166,55.3,96.6,86.2,-5.3,-2,100,148.3,137.9,127.6,151.7,224.1,196.6,186.2,190.7
Woodlawn,42,24000,Aggravated Battery,179,189,170,145,171,198,150,10,158,519,173,-16.2,-11.7,5.3,-9,745.8,787.5,708.3,604.2,712.5,825,625,658.3,720.8
Rogers Park,1,55000,Aggravated Battery,58,68,92,90,107,91,93,6,96,291,97,60.3,65.5,3.2,-1,105.5,123.6,167.3,163.6,194.5,165.5,169.1,174.5,176.4
Jefferson Park,11,26000,Aggravated Battery,12,14,12,20,23,20,14,2,14,57,19,16.7,16.7,0,-26,46.2,53.8,46.2,76.9,88.5,76.9,53.8,53.8,73.1
Forest Glen,12,20000,Aggravated Battery,3,6,6,7,5,4,6,0,6,15,5,100,100,0,20,15,30,30,35,25,20,30,30,25
North Park,13,18000,Aggravated Battery,7,15,23,22,17,16,19,0,17,52,17.3,171.4,142.9,-10.5,-2,38.9,83.3,127.8,122.2,94.4,88.9,105.6,94.4,96.1
Albany Park,14,48000,Aggravated Battery,49,61,52,63,55,72,63,2,62,190,63.3,28.6,26.5,-1.6,-2,102.1,127.1,108.3,131.2,114.6,150,131.2,129.2,131.9
Portage Park,15,63000,Aggravated Battery,58,55,52,72,72,56,48,1,47,176,58.7,-17.2,-19,-2.1,-20,92.1,87.3,82.5,114.3,114.3,88.9,76.2,74.6,93.2
Irving Park,16,52000,Aggravated Battery,41,54,53,62,57,59,42,0,41,158,52.7,2.4,0,-2.4,-22,78.8,103.8,101.9,119.2,109.6,113.5,80.8,78.8,101.3
Dunning,17,43000,Aggravated Battery,21,20,37,25,27,26,21,4,25,74,24.7,0,19,19,1,48.8,46.5,86,58.1,62.8,60.5,48.8,58.1,57.4
Montclare,18,14000,Aggravated Battery,11,12,13,6,10,11,15,0,14,36,12,36.4,27.3,-6.7,17,78.6,85.7,92.9,42.9,71.4,78.6,107.1,100,85.7
Belmont Cragin,19,78000,Aggravated Battery,107,127,100,83,93,115,100,1,94,308,102.7,-6.5,-12.1,-6,-8,137.2,162.8,128.2,106.4,119.2,147.4,128.2,120.5,131.7
