community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Burglary,35,58,36,38,54,68,98,35,121,220,73.3,180,245.7,23.5,65,175,290,180,190,270,340,490,605,366.5
Oakland,36,7000,Burglary,18,16,15,14,7,20,22,11,32,49,16.3,22.2,77.8,45.5,96,257.1,228.6,214.3,200,100,285.7,314.3,457.1,232.9
Fuller Park,37,3000,Burglary,26,18,7,15,17,21,18,3,17,56,18.7,-30.8,-34.6,-5.6,-9,866.7,600,233.3,500,566.7,700,600,566.7,623.3
Grand Boulevard,38,25000,Burglary,106,77,69,95,79,131,112,51,145,322,107.3,5.7,36.8,29.5,35,424,308,276,380,316,524,448,580,429.2
Kenwood,39,19000,Burglary,42,42,28,48,56,61,84,29,92,201,67,100,119,9.5,37,221.1,221.1,147.4,252.6,294.7,321.1,442.1,484.2,352.6
Lincoln Square,4,40000,Burglary,97,102,85,94,126,111,95,37,109,332,110.7,-2.1,12.4,14.7,-2,242.5,255,212.5,235,315,277.5,237.5,272.5,276.8
Washington Park,40,13000,Burglary,85,61,57,66,53,51,62,26,71,166,55.3,-27.1,-16.5,14.5,28,653.8,469.2,438.5,507.7,407.7,392.3,476.9,546.2,425.4
Hyde Park,41,29000,Burglary,55,71,50,57,73,94,105,44,123,272,90.7,90.9,123.6,17.1,36,189.7,244.8,172.4,196.6,251.7,324.1,362.1,424.1,312.8
Woodlawn,42,24000,Burglary,129,104,90,112,162,124,130,34,141,416,138.7,0.8,9.3,8.5,2,537.5,433.3,375,466.7,675,516.7,541.7,587.5,577.9
Rogers Park,1,55000,Burglary,183,120,82,133,109,113,132,35,127,354,118,-27.9,-30.6,-3.8,8,332.7,218.2,149.1,241.8,198.2,205.5,240,230.9,214.5
Jefferson Park,11,26000,Burglary,40,40,34,50,47,49,52,35,77,148,49.3,30,92.5,48.1,56,153.8,153.8,130.8,192.3,180.8,188.5,200,296.2,189.6
Forest Glen,12,20000,Burglary,43,44,38,42,41,29,48,11,49,118,39.3,11.6,14,2.1,25,215,220,190,210,205,145,240,245,196.5
North Park,13,18000,Burglary,39,34,30,39,41,38,63,14,68,142,47.3,61.5,74.4,7.9,44,216.7,188.9,166.7,216.7,227.8,211.1,350,377.8,262.8
Albany Park,14,48000,Burglary,106,89,77,83,105,107,112,38,124,324,108,5.7,17,10.7,15,220.8,185.4,160.4,172.9,218.8,222.9,233.3,258.3,225
Portage Park,15,63000,Burglary,139,136,88,139,119,130,170,64,204,419,139.7,22.3,46.8,20,46,220.6,215.9,139.7,220.6,188.9,206.3,269.8,323.8,221.7
Irving Park,16,52000,Burglary,125,84,96,121,106,137,173,89,232,416,138.7,38.4,85.6,34.1,67,240.4,161.5,184.6,232.7,203.8,263.5,332.7,446.2,266.7
Dunning,17,43000,Burglary,82,70,64,63,65,69,96,49,127,230,76.7,17.1,54.9,32.3,66,190.7,162.8,148.8,146.5,151.2,160.5,223.3,295.3,178.4
Montclare,18,14000,Burglary,22,20,10,31,15,22,34,32,65,71,23.7,54.5,195.5,91.2,174,157.1,142.9,71.4,221.4,107.1,157.1,242.9,464.3,169.3
