community,community_area,population,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to23,inc_19tolast12,inc_23tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior3years
Douglas,35,20000,Murder,3,3,7,8,8,0,8,23,7.7,166.7,166.7,0,4,15,15,35,40,40,40,38.5
Oakland,36,7000,Murder,1,1,3,0,1,0,1,4,1.3,0,0,0,-23,14.3,14.3,42.9,0,14.3,14.3,18.6
Fuller Park,37,3000,Murder,4,2,4,6,2,0,2,12,4,-50,-50,0,-50,133.3,66.7,133.3,200,66.7,66.7,133.3
Grand Boulevard,38,25000,Murder,5,6,15,13,5,0,4,33,11,0,-20,-20,-64,20,24,60,52,20,16,44
Kenwood,39,19000,Murder,1,0,2,8,3,1,3,13,4.3,200,200,0,-30,5.3,0,10.5,42.1,15.8,15.8,22.6
Lincoln Square,4,40000,Murder,0,1,2,1,0,0,0,3,1,NA,NA,NA,-100,0,2.5,5,2.5,0,0,2.5
Washington Park,40,13000,Murder,11,13,9,5,10,0,7,24,8,-9.1,-36.4,-30,-12,84.6,100,69.2,38.5,76.9,53.8,61.5
Hyde Park,41,29000,Murder,0,0,5,1,1,0,1,7,2.3,NA,NA,0,-57,0,0,17.2,3.4,3.4,3.4,7.9
Woodlawn,42,24000,Murder,7,8,18,13,10,4,12,41,13.7,42.9,71.4,20,-12,29.2,33.3,75,54.2,41.7,50,57.1
Rogers Park,1,55000,Murder,6,6,2,8,6,2,7,16,5.3,0,16.7,16.7,32,10.9,10.9,3.6,14.5,10.9,12.7,9.6
Jefferson Park,11,26000,Murder,0,0,0,1,0,0,0,1,0.3,NA,NA,NA,-100,0,0,0,3.8,0,0,1.2
Forest Glen,12,20000,Murder,0,0,0,0,1,0,1,1,0.3,NA,NA,0,233,0,0,0,0,5,5,1.5
North Park,13,18000,Murder,0,1,2,2,0,0,0,4,1.3,NA,NA,NA,-100,0,5.6,11.1,11.1,0,0,7.2
Albany Park,14,48000,Murder,1,7,2,6,4,0,3,12,4,300,200,-25,-25,2.1,14.6,4.2,12.5,8.3,6.2,8.3
Portage Park,15,63000,Murder,3,6,3,3,3,0,3,9,3,0,0,0,0,4.8,9.5,4.8,4.8,4.8,4.8,4.8
Irving Park,16,52000,Murder,3,2,2,3,2,1,3,7,2.3,-33.3,0,50,30,5.8,3.8,3.8,5.8,3.8,5.8,4.4
Dunning,17,43000,Murder,6,3,3,1,0,0,0,4,1.3,-100,-100,NA,-100,14,7,7,2.3,0,0,3
Montclare,18,14000,Murder,0,1,0,2,1,0,1,3,1,NA,NA,0,0,0,7.1,0,14.3,7.1,7.1,7.1
Belmont Cragin,19,78000,Murder,5,2,13,9,10,0,7,32,10.7,100,40,-30,-35,6.4,2.6,16.7,11.5,12.8,9,13.7
West Ridge,2,77000,Murder,3,6,2,6,4,1,4,12,4,33.3,33.3,0,0,3.9,7.8,2.6,7.8,5.2,5.2,5.2
Hermosa,20,24000,Murder,0,2,3,1,2,1,3,6,2,NA,NA,50,50,0,8.3,12.5,4.2,8.3,12.5,8.3
Avondale,21,36000,Murder,2,4,3,2,1,0,1,6,2,-50,-50,0,-50,5.6,11.1,8.3,5.6,2.8,2.8,5.6
Logan Square,22,72000,Murder,4,5,7,8,3,0,3,18,6,-25,-25,0,-50,5.6,6.9,9.7,11.1,4.2,4.2,8.3
Humboldt Park,23,54000,Murder,28,43,34,23,21,2,20,78,26,-25,-28.6,-4.8,-23,51.9,79.6,63,42.6,38.9,37,48.1
West Town,24,88000,Murder,5,12,10,10,5,0,4,25,8.3,0,-20,-20,-52,5.7,13.6,11.4,11.4,5.7,4.5,9.4
Austin,25,97000,Murder,53,83,71,49,48,7,49,168,56,-9.4,-7.5,2.1,-12,54.6,85.6,73.2,50.5,49.5,50.5,57.7
West Garfield Park,26,17000,Murder,23,39,38,28,29,0,26,95,31.7,26.1,13,-10.3,-18,135.3,229.4,223.5,164.7,170.6,152.9,186.5
East Garfield Park,27,20000,Murder,17,24,31,19,25,3,26,75,25,47.1,52.9,4,4,85,120,155,95,125,130,125
Near West Side,28,68000,Murder,8,10,21,18,16,3,16,55,18.3,100,100,0,-13,11.8,14.7,30.9,26.5,23.5,23.5,26.9
