community,community_area,population,type,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Property,1271,1031,1090,1552,1873,1527,1621,789,1675,5021,1673.7,27.5,31.8,3.3,0,6355,5155,5450,7760,9365,7635,8105,8375,8368.5
Oakland,36,7000,Property,289,286,275,394,555,486,463,255,486,1504,501.3,60.2,68.2,5,-3,4128.6,4085.7,3928.6,5628.6,7928.6,6942.9,6614.3,6942.9,7161.4
Fuller Park,37,3000,Property,380,279,235,293,330,272,281,145,289,883,294.3,-26.1,-23.9,2.8,-2,12666.7,9300,7833.3,9766.7,11000,9066.7,9366.7,9633.3,9810
Grand Boulevard,38,25000,Property,1489,1393,1256,1829,2058,2090,1823,942,1936,5971,1990.3,22.4,30,6.2,-3,5956,5572,5024,7316,8232,8360,7292,7744,7961.2
Kenwood,39,19000,Property,747,631,674,1073,1247,1244,1236,613,1248,3727,1242.3,65.5,67.1,1,0,3931.6,3321.1,3547.4,5647.4,6563.2,6547.4,6505.3,6568.4,6538.4
Lincoln Square,4,40000,Property,1097,1275,1060,1274,1380,1270,1190,564,1148,3840,1280,8.5,4.6,-3.5,-10,2742.5,3187.5,2650,3185,3450,3175,2975,2870,3200
Washington Park,40,13000,Property,906,825,801,1052,1255,1094,1057,488,1002,3406,1135.3,16.7,10.6,-5.2,-12,6969.2,6346.2,6161.5,8092.3,9653.8,8415.4,8130.8,7707.7,8733.1
Hyde Park,41,29000,Property,1046,889,1056,1395,1676,1611,1804,807,1664,5091,1697,72.5,59.1,-7.8,-2,3606.9,3065.5,3641.4,4810.3,5779.3,5555.2,6220.7,5737.9,5851.7
Woodlawn,42,24000,Property,1437,1258,1242,1621,1995,1773,1795,896,1850,5563,1854.3,24.9,28.7,3.1,-0,5987.5,5241.7,5175,6754.2,8312.5,7387.5,7479.2,7708.3,7726.2
Rogers Park,1,55000,Property,2316,1828,1815,2263,2717,2480,1996,772,1715,7193,2397.7,-13.8,-25.9,-14.1,-28,4210.9,3323.6,3300,4114.5,4940,4509.1,3629.1,3118.2,4359.5
Jefferson Park,11,26000,Property,578,611,498,664,694,608,468,230,467,1770,590,-19,-19.2,-0.2,-21,2223.1,2350,1915.4,2553.8,2669.2,2338.5,1800,1796.2,2269.2
Forest Glen,12,20000,Property,306,379,306,450,361,378,259,110,235,998,332.7,-15.4,-23.2,-9.3,-29,1530,1895,1530,2250,1805,1890,1295,1175,1663.5
North Park,13,18000,Property,458,494,434,600,544,595,602,209,505,1741,580.3,31.4,10.3,-16.1,-13,2544.4,2744.4,2411.1,3333.3,3022.2,3305.6,3344.4,2805.6,3223.9
Albany Park,14,48000,Property,1234,1092,1002,1183,1467,1339,1221,532,1142,4027,1342.3,-1.1,-7.5,-6.5,-15,2570.8,2275,2087.5,2464.6,3056.2,2789.6,2543.8,2379.2,2796.5
Portage Park,15,63000,Property,1545,1422,1347,1622,2038,1890,1717,864,1770,5645,1881.7,11.1,14.6,3.1,-6,2452.4,2257.1,2138.1,2574.6,3234.9,3000,2725.4,2809.5,2986.8
Irving Park,16,52000,Property,1477,1253,1270,1526,1659,1539,1289,661,1325,4487,1495.7,-12.7,-10.3,2.8,-11,2840.4,2409.6,2442.3,2934.6,3190.4,2959.6,2478.8,2548.1,2876.3
Dunning,17,43000,Property,683,805,839,949,1052,983,741,334,723,2776,925.3,8.5,5.9,-2.4,-22,1588.4,1872.1,1951.2,2207,2446.5,2286,1723.3,1681.4,2151.9
Montclare,18,14000,Property,284,303,264,403,445,415,408,166,384,1268,422.7,43.7,35.2,-5.9,-9,2028.6,2164.3,1885.7,2878.6,3178.6,2964.3,2914.3,2742.9,3019.3
Belmont Cragin,19,78000,Property,2010,1719,1694,2049,2489,2352,2026,1087,2120,6867,2289,0.8,5.5,4.6,-7,2576.9,2203.8,2171.8,2626.9,3191,3015.4,2597.4,2717.9,2934.6
West Ridge,2,77000,Property,2007,1820,1786,2475,2396,2222,1850,816,1803,6468,2156,-7.8,-10.2,-2.5,-16,2606.5,2363.6,2319.5,3214.3,3111.7,2885.7,2402.6,2341.6,2800
Hermosa,20,24000,Property,596,568,612,688,799,650,583,349,668,2032,677.3,-2.2,12.1,14.6,-1,2483.3,2366.7,2550,2866.7,3329.2,2708.3,2429.2,2783.3,2822.1
Avondale,21,36000,Property,1253,1062,895,1165,1372,1545,1453,784,1511,4370,1456.7,16,20.6,4,4,3480.6,2950,2486.1,3236.1,3811.1,4291.7,4036.1,4197.2,4046.4
Logan Square,22,72000,Property,3216,2330,2147,2659,3476,3737,3034,1613,3138,10247,3415.7,-5.7,-2.4,3.4,-8,4466.7,3236.1,2981.9,3693.1,4827.8,5190.3,4213.9,4358.3,4744
Humboldt Park,23,54000,Property,2572,2444,2273,2518,2753,2598,2268,1363,2522,7619,2539.7,-11.8,-1.9,11.2,-1,4763,4525.9,4209.3,4663,5098.1,4811.1,4200,4670.4,4703.1
West Town,24,88000,Property,4919,3526,3565,4886,5428,5562,4804,2611,5100,15794,5264.7,-2.3,3.7,6.2,-3,5589.8,4006.8,4051.1,5552.3,6168.2,6320.5,5459.1,5795.5,5982.6
Austin,25,97000,Property,5689,5027,4733,5639,5585,5426,4949,2464,4733,15960,5320,-13,-16.8,-4.4,-11,5864.9,5182.5,4879.4,5813.4,5757.7,5593.8,5102.1,4879.4,5484.5
West Garfield Park,26,17000,Property,1555,1485,1309,1401,1412,1221,1100,591,1173,3733,1244.3,-29.3,-24.6,6.6,-6,9147.1,8735.3,7700,8241.2,8305.9,7182.4,6470.6,6900,7319.4
East Garfield Park,27,20000,Property,1568,1340,1343,1661,1830,1469,1340,771,1430,4639,1546.3,-14.5,-8.8,6.7,-8,7840,6700,6715,8305,9150,7345,6700,7150,7731.5
Near West Side,28,68000,Property,5623,3818,4056,6075,6401,6635,6217,3247,6458,19253,6417.7,10.6,14.8,3.9,1,8269.1,5614.7,5964.7,8933.8,9413.2,9757.4,9142.6,9497.1,9437.8
North Lawndale,29,35000,Property,2565,2350,2345,2653,2829,2379,2037,1074,2093,7245,2415,-20.6,-18.4,2.7,-13,7328.6,6714.3,6700,7580,8082.9,6797.1,5820,5980,6900
Uptown,3,57000,Property,1852,1716,1691,2343,2737,2640,2419,1187,2393,7796,2598.7,30.6,29.2,-1.1,-8,3249.1,3010.5,2966.7,4110.5,4801.8,4631.6,4243.9,4198.2,4559.1
South Lawndale,30,71000,Property,1756,1402,1382,1601,1918,1717,1457,725,1456,5092,1697.3,-17,-17.1,-0.1,-14,2473.2,1974.6,1946.5,2254.9,2701.4,2418.3,2052.1,2050.7,2390.6
Lower West Side,31,34000,Property,1174,1048,1129,1598,1632,1660,1402,766,1479,4694,1564.7,19.4,26,5.5,-5,3452.9,3082.4,3320.6,4700,4800,4882.4,4123.5,4350,4602.1
Near South Side,33,29000,Property,1089,958,937,1492,1656,1538,1266,551,1180,4460,1486.7,16.3,8.4,-6.8,-21,3755.2,3303.4,3231,5144.8,5710.3,5303.4,4365.5,4069,5126.6
Armour Square,34,14000,Property,570,447,490,592,689,589,655,393,753,1933,644.3,14.9,32.1,15,17,4071.4,3192.9,3500,4228.6,4921.4,4207.1,4678.6,5378.6,4602.1
Norwood Park,10,38000,Property,684,702,740,791,748,807,686,303,646,2241,747,0.3,-5.6,-5.8,-14,1800,1847.4,1947.4,2081.6,1968.4,2123.7,1805.3,1700,1965.8
Near North Side,8,105000,Property,8606,4712,4931,6832,7076,7191,7253,3333,7133,21520,7173.3,-15.7,-17.1,-1.7,-1,8196.2,4487.6,4696.2,6506.7,6739,6848.6,6907.6,6793.3,6831.7
Loop,32,42000,Property,7799,3260,3438,5379,5751,5983,5280,2481,5126,17014,5671.3,-32.3,-34.3,-2.9,-10,18569,7761.9,8185.7,12807.1,13692.9,14245.2,12571.4,12204.8,13503.1
South Shore,43,54000,Property,3659,3434,3167,4161,4484,3964,3749,1898,3800,12197,4065.7,2.5,3.9,1.4,-7,6775.9,6359.3,5864.8,7705.6,8303.7,7340.7,6942.6,7037,7529.1
Chatham,44,32000,Property,3064,2453,2479,3187,3181,2747,2654,1142,2396,8582,2860.7,-13.4,-21.8,-9.7,-16,9575,7665.6,7746.9,9959.4,9940.6,8584.4,8293.8,7487.5,8939.7
Avalon Park,45,9000,Property,539,559,465,635,640,584,558,255,537,1782,594,3.5,-0.4,-3.8,-10,5988.9,6211.1,5166.7,7055.6,7111.1,6488.9,6200,5966.7,6600
South Chicago,46,27000,Property,1590,1467,1563,2071,2143,1784,1783,814,1727,5710,1903.3,12.1,8.6,-3.1,-9,5888.9,5433.3,5788.9,7670.4,7937,6607.4,6603.7,6396.3,7049.3
Burnside,47,3000,Property,133,164,143,193,173,129,119,71,129,421,140.3,-10.5,-3,8.4,-8,4433.3,5466.7,4766.7,6433.3,5766.7,4300,3966.7,4300,4676.7
Mckinley Park,59,16000,Property,498,398,363,466,551,613,555,283,575,1719,573,11.4,15.5,3.6,0,3112.5,2487.5,2268.8,2912.5,3443.8,3831.2,3468.8,3593.7,3581.2
Lake View,6,103000,Property,4074,3035,3128,4004,4659,4754,4138,2098,4150,13551,4517,1.6,1.9,0.3,-8,3955.3,2946.6,3036.9,3887.4,4523.3,4615.5,4017.5,4029.1,4385.4
Calumet Heights,48,13000,Property,655,658,600,732,867,738,772,320,700,2377,792.3,17.9,6.9,-9.3,-12,5038.5,5061.5,4615.4,5630.8,6669.2,5676.9,5938.5,5384.6,6094.6
Roseland,49,39000,Property,2631,2683,2274,2896,2938,2630,2419,1046,2231,7987,2662.3,-8.1,-15.2,-7.8,-16,6746.2,6879.5,5830.8,7425.6,7533.3,6743.6,6202.6,5720.5,6826.4
North Center,5,35000,Property,933,825,695,975,1052,981,851,455,922,2884,961.3,-8.8,-1.2,8.3,-4,2665.7,2357.1,1985.7,2785.7,3005.7,2802.9,2431.4,2634.3,2746.6
Pullman,50,7000,Property,500,422,438,495,543,580,538,287,526,1661,553.7,7.6,5.2,-2.2,-5,7142.9,6028.6,6257.1,7071.4,7757.1,8285.7,7685.7,7514.3,7910
South Deering,51,14000,Property,857,751,663,917,1110,1035,979,445,920,3124,1041.3,14.2,7.4,-6,-12,6121.4,5364.3,4735.7,6550,7928.6,7392.9,6992.9,6571.4,7437.9
East Side,52,22000,Property,376,435,464,536,690,672,725,309,653,2087,695.7,92.8,73.7,-9.9,-6,1709.1,1977.3,2109.1,2436.4,3136.4,3054.5,3295.5,2968.2,3162.3
West Pullman,53,26000,Property,1558,1756,1597,1688,1765,1780,1579,695,1475,5124,1708,1.3,-5.3,-6.6,-14,5992.3,6753.8,6142.3,6492.3,6788.5,6846.2,6073.1,5673.1,6569.2
Riverdale,54,7000,Property,482,383,455,547,548,484,398,205,361,1430,476.7,-17.4,-25.1,-9.3,-24,6885.7,5471.4,6500,7814.3,7828.6,6914.3,5685.7,5157.1,6810
Hegewisch,55,10000,Property,233,253,309,322,401,448,461,203,411,1310,436.7,97.9,76.4,-10.8,-6,2330,2530,3090,3220,4010,4480,4610,4110,4367
Garfield Ridge,56,35000,Property,1118,897,883,1176,1368,1403,1099,463,981,3870,1290,-1.7,-12.3,-10.7,-24,3194.3,2562.9,2522.9,3360,3908.6,4008.6,3140,2802.9,3685.7
Archer Heights,57,14000,Property,475,383,351,602,560,674,700,311,662,1934,644.7,47.4,39.4,-5.4,3,3392.9,2735.7,2507.1,4300,4000,4814.3,5000,4728.6,4605
Brighton Park,58,45000,Property,1030,803,799,956,1084,1047,993,570,1055,3124,1041.3,-3.6,2.4,6.2,1,2288.9,1784.4,1775.6,2124.4,2408.9,2326.7,2206.7,2344.4,2314
Bridgeport,60,34000,Property,825,751,694,960,953,932,972,488,1015,2857,952.3,17.8,23,4.4,7,2426.5,2208.8,2041.2,2823.5,2802.9,2741.2,2858.8,2985.3,2800.9
New City,61,44000,Property,1749,1479,1378,1597,1911,1707,1579,798,1543,5197,1732.3,-9.7,-11.8,-2.3,-11,3975,3361.4,3131.8,3629.5,4343.2,3879.5,3588.6,3506.8,3937
West Elsdon,62,18000,Property,473,371,396,478,636,520,467,260,458,1623,541,-1.3,-3.2,-1.9,-15,2627.8,2061.1,2200,2655.6,3533.3,2888.9,2594.4,2544.4,3005.6
Gage Park,63,40000,Property,957,720,769,955,1145,1098,1154,713,1314,3397,1132.3,20.6,37.3,13.9,16,2392.5,1800,1922.5,2387.5,2862.5,2745,2885,3285,2830.8
Clearing,64,24000,Property,489,463,480,590,747,590,539,256,523,1876,625.3,10.2,7,-3,-16,2037.5,1929.2,2000,2458.3,3112.5,2458.3,2245.8,2179.2,2605.4
West Lawn,65,34000,Property,950,708,696,957,1165,1203,1000,512,999,3368,1122.7,5.3,5.2,-0.1,-11,2794.1,2082.4,2047.1,2814.7,3426.5,3538.2,2941.2,2938.2,3302.1
Chicago Lawn,66,56000,Property,2310,2150,1966,2255,2546,2199,1964,991,1911,6709,2236.3,-15,-17.3,-2.7,-15,4125,3839.3,3510.7,4026.8,4546.4,3926.8,3507.1,3412.5,3993.4
West Englewood,67,30000,Property,2356,2129,1875,2047,2046,1804,1678,856,1694,5528,1842.7,-28.8,-28.1,1,-8,7853.3,7096.7,6250,6823.3,6820,6013.3,5593.3,5646.7,6142.3
Englewood,68,24000,Property,2082,1839,1706,1948,2184,2071,1901,796,1736,6156,2052,-8.7,-16.6,-8.7,-15,8675,7662.5,7108.3,8116.7,9100,8629.2,7920.8,7233.3,8550
Greater Grand Crossing,69,31000,Property,2565,2466,2266,2793,3208,2788,2528,1196,2470,8524,2841.3,-1.4,-3.7,-2.3,-13,8274.2,7954.8,7309.7,9009.7,10348.4,8993.5,8154.8,7967.7,9165.5
Lincoln Park,7,70000,Property,3245,2145,2213,2663,2956,3372,2936,1468,2912,9264,3088,-9.5,-10.3,-0.8,-6,4635.7,3064.3,3161.4,3804.3,4222.9,4817.1,4194.3,4160,4411.4
Ashburn,70,41000,Property,1227,974,946,1100,1389,1387,1036,492,1026,3812,1270.7,-15.6,-16.4,-1,-19,2992.7,2375.6,2307.3,2682.9,3387.8,3382.9,2526.8,2502.4,3099.3
Auburn Gresham,71,45000,Property,2989,2729,2671,3005,3307,2969,2899,1283,2745,9175,3058.3,-3,-8.2,-5.3,-10,6642.2,6064.4,5935.6,6677.8,7348.9,6597.8,6442.2,6100,6796.2
Beverly,72,20000,Property,597,541,459,571,618,554,577,281,591,1749,583,-3.4,-1,2.4,1,2985,2705,2295,2855,3090,2770,2885,2955,2915
Washington Heights,73,25000,Property,1491,1328,1184,1591,1845,1626,1452,590,1318,4923,1641,-2.6,-11.6,-9.2,-20,5964,5312,4736,6364,7380,6504,5808,5272,6564
Mount Greenwood,74,19000,Property,259,310,310,285,303,305,278,129,292,886,295.3,7.3,12.7,5,-1,1363.2,1631.6,1631.6,1500,1594.7,1605.3,1463.2,1536.8,1554.2
Morgan Park,75,21000,Property,902,907,903,980,1062,992,961,464,952,3015,1005,6.5,5.5,-0.9,-5,4295.2,4319,4300,4666.7,5057.1,4723.8,4576.2,4533.3,4785.7
Ohare,76,13000,Property,1016,609,757,943,1024,1007,931,382,776,2962,987.3,-8.4,-23.6,-16.6,-21,7815.4,4684.6,5823.1,7253.8,7876.9,7746.2,7161.5,5969.2,7594.6
Edgewater,77,56000,Property,1519,1450,1459,1754,2137,2198,1780,802,1566,6115,2038.3,17.2,3.1,-12,-23,2712.5,2589.3,2605.4,3132.1,3816.1,3925,3178.6,2796.4,3639.8
Edison Park,9,12000,Property,153,184,147,174,167,198,165,41,99,530,176.7,7.8,-35.3,-40,-44,1275,1533.3,1225,1450,1391.7,1650,1375,825,1472.5
NA,Unknown,NA,Property,0,0,0,13,14,6,5,1,6,25,8.3,NA,NA,20,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
