community,community_area,population,category,description,total20,total19,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Theft,RETAIL THEFT,51,133,50,56,37,85,55,2,56,177,59,-58.6,-57.9,1.8,-5,665,255,250,280,185,425,275,280,295
Fuller Park,37,3000,Theft,RETAIL THEFT,17,30,6,17,13,15,19,1,20,47,15.7,-36.7,-33.3,5.3,27,1000,566.7,200,566.7,433.3,500,633.3,666.7,523.3
Grand Boulevard,38,25000,Theft,RETAIL THEFT,40,98,30,27,31,78,79,1,79,188,62.7,-19.4,-19.4,0,26,392,160,120,108,124,312,316,316,250.8
Kenwood,39,19000,Theft,RETAIL THEFT,12,55,30,18,17,38,40,0,40,95,31.7,-27.3,-27.3,0,26,289.5,63.2,157.9,94.7,89.5,200,210.5,210.5,166.8
Lincoln Square,4,40000,Theft,RETAIL THEFT,48,87,76,67,38,90,119,4,121,247,82.3,36.8,39.1,1.7,47,217.5,120,190,167.5,95,225,297.5,302.5,205.8
Washington Park,40,13000,Theft,RETAIL THEFT,8,20,7,3,5,5,6,1,7,16,5.3,-70,-65,16.7,32,153.8,61.5,53.8,23.1,38.5,38.5,46.2,53.8,40.8
Hyde Park,41,29000,Theft,RETAIL THEFT,62,83,73,131,121,214,315,5,312,650,216.7,279.5,275.9,-1,44,286.2,213.8,251.7,451.7,417.2,737.9,1086.2,1075.9,747.2
Woodlawn,42,24000,Theft,RETAIL THEFT,33,80,26,18,26,37,63,2,65,126,42,-21.2,-18.8,3.2,55,333.3,137.5,108.3,75,108.3,154.2,262.5,270.8,175
Rogers Park,1,55000,Theft,RETAIL THEFT,121,253,162,330,301,392,295,7,294,988,329.3,16.6,16.2,-0.3,-11,460,220,294.5,600,547.3,712.7,536.4,534.5,598.7
Jefferson Park,11,26000,Theft,RETAIL THEFT,23,15,9,20,16,27,17,0,16,60,20,13.3,6.7,-5.9,-20,57.7,88.5,34.6,76.9,61.5,103.8,65.4,61.5,76.9
Forest Glen,12,20000,Theft,RETAIL THEFT,2,7,4,1,4,1,1,0,1,6,2,-85.7,-85.7,0,-50,35,10,20,5,20,5,5,5,10
North Park,13,18000,Theft,RETAIL THEFT,42,33,32,52,46,115,149,4,147,310,103.3,351.5,345.5,-1.3,42,183.3,233.3,177.8,288.9,255.6,638.9,827.8,816.7,573.9
Albany Park,14,48000,Theft,RETAIL THEFT,64,52,79,65,70,115,114,3,113,299,99.7,119.2,117.3,-0.9,13,108.3,133.3,164.6,135.4,145.8,239.6,237.5,235.4,207.7
Portage Park,15,63000,Theft,RETAIL THEFT,94,115,91,104,199,336,402,11,406,937,312.3,249.6,253,1,30,182.5,149.2,144.4,165.1,315.9,533.3,638.1,644.4,495.7
Irving Park,16,52000,Theft,RETAIL THEFT,54,58,85,65,53,106,64,3,66,223,74.3,10.3,13.8,3.1,-11,111.5,103.8,163.5,125,101.9,203.8,123.1,126.9,142.9
Dunning,17,43000,Theft,RETAIL THEFT,8,25,12,26,33,30,27,0,26,90,30,8,4,-3.7,-13,58.1,18.6,27.9,60.5,76.7,69.8,62.8,60.5,69.8
Montclare,18,14000,Theft,RETAIL THEFT,11,15,13,16,40,72,50,0,50,162,54,233.3,233.3,0,-7,107.1,78.6,92.9,114.3,285.7,514.3,357.1,357.1,385.7
Belmont Cragin,19,78000,Theft,RETAIL THEFT,114,183,104,215,297,442,355,11,351,1094,364.7,94,91.8,-1.1,-4,234.6,146.2,133.3,275.6,380.8,566.7,455.1,450,467.6
