community,community_area,population,category,total23,total24,total25,total22,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Theft Over $500,271,233,199,248,111,203,115,165,180,703,234.3,-2,-11.3,-9.5,-23,1015,575,825,1240,1355,1165,995,900,1171.5
Oakland,36,7000,Theft Over $500,61,52,42,49,22,39,38,40,31,155,51.7,7.7,-20.5,-26.2,-40,557.1,542.9,571.4,700,871.4,742.9,600,442.9,738.6
Fuller Park,37,3000,Theft Over $500,29,28,25,37,19,42,25,22,27,82,27.3,-40.5,-35.7,8,-1,1400,833.3,733.3,1233.3,966.7,933.3,833.3,900,910
Grand Boulevard,38,25000,Theft Over $500,265,241,163,226,111,178,148,154,164,669,223,-8.4,-7.9,0.6,-26,712,592,616,904,1060,964,652,656,892
Kenwood,39,19000,Theft Over $500,173,146,138,177,86,97,77,97,134,457,152.3,42.3,38.1,-2.9,-12,510.5,405.3,510.5,931.6,910.5,768.4,726.3,705.3,801.6
Lincoln Square,4,40000,Theft Over $500,283,222,216,283,124,110,138,156,169,721,240.3,96.4,53.6,-21.8,-30,275,345,390,707.5,707.5,555,540,422.5,600.8
Washington Park,40,13000,Theft Over $500,129,138,90,146,49,85,77,83,81,357,119,5.9,-4.7,-10,-32,653.8,592.3,638.5,1123.1,992.3,1061.5,692.3,623.1,915.4
Hyde Park,41,29000,Theft Over $500,292,250,199,270,131,121,101,197,200,741,247,64.5,65.3,0.5,-19,417.2,348.3,679.3,931,1006.9,862.1,686.2,689.7,851.7
Woodlawn,42,24000,Theft Over $500,247,225,186,220,117,142,130,150,178,658,219.3,31,25.4,-4.3,-19,591.7,541.7,625,916.7,1029.2,937.5,775,741.7,913.8
Rogers Park,1,55000,Theft Over $500,355,308,237,341,109,178,155,209,165,900,300,33.1,-7.3,-30.4,-45,323.6,281.8,380,620,645.5,560,430.9,300,545.5
Jefferson Park,11,26000,Theft Over $500,187,106,40,155,19,58,68,94,33,333,111,-31,-43.1,-17.5,-70,223.1,261.5,361.5,596.2,719.2,407.7,153.8,126.9,426.9
Forest Glen,12,20000,Theft Over $500,95,71,32,66,13,28,39,50,19,198,66,14.3,-32.1,-40.6,-71,140,195,250,330,475,355,160,95,330
North Park,13,18000,Theft Over $500,92,82,56,88,28,51,52,60,42,230,76.7,9.8,-17.6,-25,-45,283.3,288.9,333.3,488.9,511.1,455.6,311.1,233.3,426.1
Albany Park,14,48000,Theft Over $500,274,165,108,191,65,124,111,127,93,547,182.3,-12.9,-25,-13.9,-49,258.3,231.2,264.6,397.9,570.8,343.8,225,193.8,379.8
Portage Park,15,63000,Theft Over $500,398,237,139,307,61,123,138,203,89,774,258,13,-27.6,-36,-66,195.2,219,322.2,487.3,631.7,376.2,220.6,141.3,409.5
Irving Park,16,52000,Theft Over $500,334,227,151,331,69,175,150,201,101,712,237.3,-13.7,-42.3,-33.1,-57,336.5,288.5,386.5,636.5,642.3,436.5,290.4,194.2,456.3
Dunning,17,43000,Theft Over $500,197,136,74,147,26,62,84,139,52,407,135.7,19.4,-16.1,-29.7,-62,144.2,195.3,323.3,341.9,458.1,316.3,172.1,120.9,315.6
Montclare,18,14000,Theft Over $500,69,50,28,65,15,30,25,49,20,147,49,-6.7,-33.3,-28.6,-59,214.3,178.6,350,464.3,492.9,357.1,200,142.9,350
Belmont Cragin,19,78000,Theft Over $500,342,246,179,222,108,176,136,195,158,767,255.7,1.7,-10.2,-11.7,-38,225.6,174.4,250,284.6,438.5,315.4,229.5,202.6,327.8
West Ridge,2,77000,Theft Over $500,397,277,174,416,88,198,178,210,143,848,282.7,-12.1,-27.8,-17.8,-49,257.1,231.2,272.7,540.3,515.6,359.7,226,185.7,367.1
Hermosa,20,24000,Theft Over $500,106,62,53,81,31,40,61,74,45,221,73.7,32.5,12.5,-15.1,-39,166.7,254.2,308.3,337.5,441.7,258.3,220.8,187.5,307.1
