category,year,month,count,rollavg_3month
Burglary,2019,1,797,NA
Burglary,2019,2,671,NA
Burglary,2019,3,677,715
Burglary,2019,4,700,683
Burglary,2019,5,815,731
Burglary,2019,6,790,768
Burglary,2019,7,928,844
Burglary,2019,8,904,874
Burglary,2019,9,875,902
Burglary,2019,10,863,881
Burglary,2019,11,792,843
Burglary,2019,12,827,827
Burglary,2020,1,740,NA
Burglary,2020,2,619,NA
Burglary,2020,3,567,642
Burglary,2020,4,528,571
Burglary,2020,5,1323,806
Burglary,2020,6,754,868
Burglary,2020,7,738,938
Burglary,2020,8,1062,851
Burglary,2020,9,613,804
Burglary,2020,10,643,773
Burglary,2020,11,618,625
Burglary,2020,12,549,603
Burglary,2021,1,486,NA
Burglary,2021,2,351,NA
Burglary,2021,3,394,410
Burglary,2021,4,416,387
Burglary,2021,5,472,427
Burglary,2021,6,508,465
Burglary,2021,7,556,512
Burglary,2021,8,600,555
Burglary,2021,9,666,607
Burglary,2021,10,757,674
Burglary,2021,11,732,718
Burglary,2021,12,718,736
Burglary,2022,1,578,NA
Burglary,2022,2,510,NA
Burglary,2022,3,582,557
Burglary,2022,4,562,551
Burglary,2022,5,607,584
Burglary,2022,6,675,615
Burglary,2022,7,700,661
Burglary,2022,8,672,682
Burglary,2022,9,635,669
Burglary,2022,10,357,555
