ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13733577,JJ130537,01/28/2025 12:00:00 AM,100XX W OHARE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,AIRPORT PARKING LOT,false,false,1651,016,41,76,11,1100658,1934241,2025,02/04/2025 03:41:19 PM,41.976290414,-87.905227221,POINT (-87.905227221 41.976290414)
13735185,JJ132620,01/28/2025 12:00:00 AM,012XX N WALLER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2531,025,29,25,08B,1138118,1907724,2025,02/04/2025 03:41:19 PM,41.902928659,-87.768111674,POINT (-87.768111674 41.902928659)
13735317,JJ132013,01/28/2025 12:00:00 AM,045XX N Dover St,0810,THEFT,OVER $500,STREET,false,false,1913,019,46,3,06,1165974,1930173,2025,02/04/2025 03:41:19 PM,41.963980689,-87.665148448,POINT (-87.665148448 41.963980689)
13738711,JJ136970,01/28/2025 12:00:00 AM,128XX S MARQUETTE AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,0433,004,10,55,17,,,2025,02/04/2025 03:41:19 PM,,,
13733350,JJ130478,01/28/2025 12:00:00 AM,016XX W 79TH ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,TAVERN / LIQUOR STORE,true,false,0611,006,17,71,18,1166922,1852328,2025,02/04/2025 03:41:19 PM,41.75034678,-87.663894471,POINT (-87.663894471 41.75034678)
13732582,JJ129589,01/28/2025 12:00:00 AM,056XX W FULTON ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1512,015,29,25,08B,1138761,1901452,2025,02/04/2025 03:41:19 PM,41.885705862,-87.765902141,POINT (-87.765902141 41.885705862)
13733316,JJ130097,01/28/2025 12:00:00 AM,036XX S Lowe Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0915,009,11,60,14,1172562,1880785,2025,02/04/2025 03:41:19 PM,41.828313632,-87.642388915,POINT (-87.642388915 41.828313632)
13732970,JJ130117,01/28/2025 12:00:00 AM,023XX N KENMORE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1811,018,43,7,08A,1168909,1915670,2025,02/04/2025 03:41:19 PM,41.924120532,-87.654779528,POINT (-87.654779528 41.924120532)
13738701,JJ137058,01/28/2025 12:00:00 AM,019XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0132,001,3,33,06,,,2025,02/04/2025 03:41:19 PM,,,
13733614,JJ130901,01/28/2025 12:00:00 AM,061XX S OAK PARK AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0812,008,13,64,06,1132138,1863124,2025,02/04/2025 03:41:19 PM,41.780645106,-87.791112009,POINT (-87.791112009 41.780645106)
